No:0, Code:19, type:CLASS, value:Class, start:0, end:2

No:1, Code:20, type:ID, value:Insomnia, start:1, end:null

No:2, Code:20, type:ID, value:Disorder, start:2, end:null

No:3, Code:1, type:DCA, value:Diagnostic-Criteria, start:3, end:262

No:4, Code:0, type:DIGIT, value:780, start:4, end:null

No:5, Code:21, type:SEPARATORS, value:., start:null, end:null

No:6, Code:0, type:DIGIT, value:52, start:6, end:null

No:7, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:8, Code:20, type:ID, value:G47, start:8, end:null

No:9, Code:21, type:SEPARATORS, value:., start:null, end:null

No:10, Code:0, type:DIGIT, value:00, start:10, end:null

No:11, Code:21, type:SEPARATORS, value:), start:null, end:null

No:12, Code:20, type:ID, value:A, start:12, end:104

No:13, Code:21, type:SEPARATORS, value:., start:null, end:null

No:14, Code:20, type:ID, value:a, start:14, end:null

No:15, Code:20, type:ID, value:predominant, start:15, end:null

No:16, Code:20, type:ID, value:complaint, start:16, end:null

No:17, Code:20, type:ID, value:of, start:17, end:null

No:18, Code:20, type:ID, value:dissatisfaction, start:18, end:null

No:19, Code:20, type:ID, value:witli, start:19, end:null

No:20, Code:20, type:ID, value:sleep, start:20, end:null

No:21, Code:20, type:ID, value:quantity, start:21, end:null

No:22, Code:20, type:ID, value:or, start:22, end:null

No:23, Code:20, type:ID, value:quality, start:23, end:null

No:24, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:25, Code:20, type:ID, value:associated, start:25, end:null

No:26, Code:20, type:ID, value:with, start:26, end:null

No:27, Code:20, type:ID, value:one, start:27, end:null

No:28, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:29, Code:20, type:ID, value:or, start:29, end:null

No:30, Code:20, type:ID, value:more, start:30, end:null

No:31, Code:21, type:SEPARATORS, value:), start:null, end:null

No:32, Code:20, type:ID, value:of, start:32, end:null

No:33, Code:20, type:ID, value:the, start:33, end:null

No:34, Code:20, type:ID, value:following, start:34, end:null

No:35, Code:20, type:ID, value:symptoms, start:35, end:null

No:36, Code:21, type:SEPARATORS, value::, start:null, end:null

No:37, Code:0, type:DIGIT, value:1, start:37, end:null

No:38, Code:21, type:SEPARATORS, value:., start:null, end:null

No:39, Code:20, type:ID, value:Difficulty, start:39, end:null

No:40, Code:20, type:ID, value:initiating, start:40, end:null

No:41, Code:20, type:ID, value:sleep, start:41, end:null

No:42, Code:21, type:SEPARATORS, value:., start:null, end:null

No:43, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:44, Code:20, type:ID, value:In, start:44, end:null

No:45, Code:20, type:ID, value:children, start:45, end:null

No:46, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:47, Code:20, type:ID, value:this, start:47, end:null

No:48, Code:20, type:ID, value:may, start:48, end:null

No:49, Code:20, type:ID, value:manifest, start:49, end:null

No:50, Code:20, type:ID, value:as, start:50, end:null

No:51, Code:20, type:ID, value:difficulty, start:51, end:null

No:52, Code:20, type:ID, value:initiating, start:52, end:null

No:53, Code:20, type:ID, value:sleep, start:53, end:null

No:54, Code:20, type:ID, value:without, start:54, end:null

No:55, Code:20, type:ID, value:caregiver, start:55, end:null

No:56, Code:20, type:ID, value:intervention, start:56, end:null

No:57, Code:21, type:SEPARATORS, value:., start:null, end:null

No:58, Code:21, type:SEPARATORS, value:), start:null, end:null

No:59, Code:0, type:DIGIT, value:2, start:59, end:null

No:60, Code:21, type:SEPARATORS, value:., start:null, end:null

No:61, Code:20, type:ID, value:Difficulty, start:61, end:null

No:62, Code:20, type:ID, value:maintaining, start:62, end:null

No:63, Code:20, type:ID, value:sleep, start:63, end:null

No:64, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:65, Code:20, type:ID, value:characterized, start:65, end:null

No:66, Code:20, type:ID, value:by, start:66, end:null

No:67, Code:20, type:ID, value:frequent, start:67, end:null

No:68, Code:20, type:ID, value:awakenings, start:68, end:null

No:69, Code:20, type:ID, value:or, start:69, end:null

No:70, Code:20, type:ID, value:problems, start:70, end:null

No:71, Code:20, type:ID, value:returning, start:71, end:null

No:72, Code:20, type:ID, value:to, start:72, end:null

No:73, Code:20, type:ID, value:sleep, start:73, end:null

No:74, Code:20, type:ID, value:after, start:74, end:null

No:75, Code:20, type:ID, value:awakenings, start:75, end:null

No:76, Code:21, type:SEPARATORS, value:., start:null, end:null

No:77, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:78, Code:20, type:ID, value:In, start:78, end:null

No:79, Code:20, type:ID, value:children, start:79, end:null

No:80, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:81, Code:20, type:ID, value:this, start:81, end:null

No:82, Code:20, type:ID, value:may, start:82, end:null

No:83, Code:20, type:ID, value:manifest, start:83, end:null

No:84, Code:20, type:ID, value:as, start:84, end:null

No:85, Code:20, type:ID, value:difficulty, start:85, end:null

No:86, Code:20, type:ID, value:returning, start:86, end:null

No:87, Code:20, type:ID, value:to, start:87, end:null

No:88, Code:20, type:ID, value:sleep, start:88, end:null

No:89, Code:20, type:ID, value:without, start:89, end:null

No:90, Code:20, type:ID, value:caregiver, start:90, end:null

No:91, Code:20, type:ID, value:intervention, start:91, end:null

No:92, Code:21, type:SEPARATORS, value:., start:null, end:null

No:93, Code:21, type:SEPARATORS, value:), start:null, end:null

